"Alue","SDP","PS","KOK","KESK","VIHR","VAS","RKP","KD","SIN","PIR","STL","KP","FP","LIB","SKP","EOP","IP","SKE","KTP","Muut","Vaalipiiri"
"Helsinki",13.5,12.3,21.8,2.9,23.5,11.1,5.3,1.9,0.5,1.5,0.3,0,0.9,0.3,0.2,0.2,0.1,0.1,0,3.5,"Helsinki"
"Askola",18.5,23.7,11.5,23.5,6.4,4.2,2.4,2.4,1.6,0.5,0.5,0.1,0,0.2,0.3,0.2,0.2,0.1,0,3.7,"Uusimaa"
"Espoo",13,11.6,31,4,18,3.5,7.7,2.7,1.7,1,0.4,0,0.2,0.5,0.2,0.2,0.1,0.1,0,4.1,"Uusimaa"
"Hanko",28.7,11.4,6.1,1.9,5.5,7.9,30.1,2.2,0.9,0.6,0.7,0.2,0.1,0.2,0.5,0.2,0.1,0.1,0.1,2.5,"Uusimaa"
"Vantaa",21.4,18.3,18.8,5,14.5,5.9,2.8,3,1.9,1,0.6,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0,5.4,"Uusimaa"
"Hyvinkää",21.8,24,17,7.4,11.2,5.5,1,3.3,1.7,0.7,0.5,0,0.2,0.2,0.3,0.2,0.1,0.1,0,4.7,"Uusimaa"
"Inkoo",10.9,8.1,8.4,2,7.2,2.8,54,1.5,1.2,0.2,0.4,0,0.2,0.2,0.2,0.1,0,0.1,0,2.5,"Uusimaa"
"Järvenpää",21.9,18.6,17.5,8.1,13.1,5.6,1.2,3.5,1.6,0.6,0.7,0,0.2,0.2,0.3,0.1,0.1,0.2,0,6,"Uusimaa"
"Karkkila",25.8,19.7,11.1,9.1,9.2,13.5,1.1,2.4,1.3,0.4,0.8,0,0.2,0.3,0.3,0.1,0.2,0.1,0.4,4.1,"Uusimaa"
"Kauniainen",5,6.4,32,2.4,10.6,1.7,34.7,2.2,1.1,0.6,0.3,0,0.2,0.2,0.1,0.2,0.1,0,0,2.2,"Uusimaa"
"Kerava",19.8,19.1,19.4,6.8,12.8,8.6,1.5,3.2,1.9,0.8,0.5,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0,4.4,"Uusimaa"
"Kirkkonummi",14.2,13.6,20.5,4,13.3,3.6,20.1,2.2,2.1,0.7,0.4,0,0.1,0.2,0.2,0.2,0.1,0.1,0,4.5,"Uusimaa"
"Lapinjärvi",11.7,12.5,7.7,20.3,6.2,2.8,30.3,1.8,1,0.4,0.3,0.1,0.1,0.1,0.6,0.4,0.1,0.2,0.1,3.4,"Uusimaa"
"Loviisa",19.8,11.8,6.5,4.3,6.6,3.3,39.3,2,1.6,0.6,0.3,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,3,"Uusimaa"
"Lohja",23.5,21.3,14.6,8.3,11.4,7,2.9,3.1,1.6,0.4,0.8,0,0.2,0.2,0.2,0.2,0.1,0.2,0.1,4,"Uusimaa"
"Myrskylä",12.3,20.4,9.4,33.5,5.1,3.2,7.9,2.7,1,0.1,0.7,0,0.1,0.2,0.2,0.2,0.2,0.2,0.1,2.4,"Uusimaa"
"Mäntsälä",21.1,23.4,16.2,14.7,7.8,3.9,1.1,2.9,1.9,0.4,0.8,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0,4.6,"Uusimaa"
"Nurmijärvi",15.3,20.1,19.4,14.6,11.3,4,1.3,2.7,3.2,0.4,0.5,0.1,0.1,0.4,0.2,0.1,0.2,0.2,0,6,"Uusimaa"
"Pornainen",17.4,24.2,14.8,17.2,9.1,3.4,1.9,2,1.8,0.7,0.4,0,0.1,0.3,0.1,0.2,0.1,0.1,0,5.8,"Uusimaa"
"Pukkila",12.5,24.5,11.1,30.9,6.3,3.6,0.9,1.9,1.3,0.3,1,0,0.3,0.3,0.2,0.3,0.3,0.1,0,4,"Uusimaa"
"Porvoo",18.7,12.2,12.1,6.2,10.6,4.6,25.7,2.3,1.3,0.5,0.3,0,0.2,0.2,0.2,0.3,0.2,0.1,0.1,4.2,"Uusimaa"
"Raasepori",26.1,5.8,4.7,1.6,5.7,4.5,46.1,1,0.6,0.4,0.3,0,0.2,0.1,0.1,0.1,0.1,0.1,0.3,2.3,"Uusimaa"
"Sipoo",10.8,12.5,23.8,4.1,9.8,2.9,25.4,2.3,1.2,0.6,0.3,0,0.2,0.2,0.2,0.1,0.2,0.1,0,5.3,"Uusimaa"
"Siuntio",15.9,16.1,13.5,4.4,10.3,3.6,27.2,1.6,1.8,0.5,0.5,0,0,0.3,0.3,0.1,0.1,0,0,3.9,"Uusimaa"
"Tuusula",16.5,21,20.4,12.3,11.3,4.8,1.7,2.6,2,0.5,0.6,0.1,0.1,0.3,0.2,0.2,0.1,0.2,0,5.4,"Uusimaa"
"Vihti",18,20,17.9,14.2,10.1,4.8,2.4,3.4,1.6,0.4,0.6,0,0.1,0.3,0.2,0.2,0.1,0.2,0,5.4,"Uusimaa"
"Aura",17.8,27.2,16.3,17.5,3.6,10.6,0.6,2.4,0.3,0.2,0.1,0,0,0.2,0.1,0.1,0.2,0.1,0.1,2.5,"Varsinais-Suomi"
"Kaarina",19.3,18.9,24,6.5,9.5,11.5,4,2.1,0.6,0.4,0.2,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,2.5,"Varsinais-Suomi"
"Koski Tl",10.3,19.7,13.3,39.7,3.9,6.5,0.5,2.5,0.7,0.2,0.1,0,0.1,0,0.1,0.1,0.2,0.1,0,1.7,"Varsinais-Suomi"
"Kustavi",13.9,16.8,31.5,18.2,6.1,8.6,1.4,1.3,0.3,0.2,0.2,0,0,0.5,0,0.2,0,0,0,0.8,"Varsinais-Suomi"
